kanji	count	freq	freq_cum	jouyou	jouyou_pos
穢	16	7.07662e-07	0.999806	0	0
穣	10	4.42289e-07	0.999888	0	0
穫	336	1.48609e-05	0.994806	7	1847
穰	2	8.84578e-08	0.99998	0	0
穴	2258	9.98688e-05	0.955581	6	952
究	5908	0.000261304	0.873839	3	380
穹	14	6.19204e-07	0.999833	0	0
空	15856	0.000701293	0.692012	1	50
穿	148	6.54588e-06	0.997867	0	0
突	12826	0.00056728	0.741002	7	1051
窃	780	3.44985e-05	0.986722	7	1648
窄	116	5.13055e-06	0.99831	0	0
窈	1	4.42289e-08	0.999995	0	0
窒	390	1.72493e-05	0.993954	7	1816
窓	2840	0.00012561	0.94324	6	942
窟	195	8.62463e-06	0.997185	7	1961
窩	55	2.43259e-06	0.999256	0	0
窪	890	3.93637e-05	0.984661	0	0
窮	448	1.98145e-05	0.993103	7	1787
窯	82	3.62677e-06	0.998816	7	2044
窺	9	3.9806e-07	0.999893	0	0
窿	1	4.42289e-08	0.999989	0	0
竄	7	3.09602e-07	0.999925	0	0
竈	4	1.76916e-07	0.999961	0	0
立	45021	0.00199123	0.426907	1	30
站	5	2.21144e-07	0.999951	0	0
竜	1880	8.31503e-05	0.963697	7	1377
竝	2	8.84578e-08	0.99998	0	0
竟	2	8.84578e-08	0.999977	0	0
章	1331	5.88686e-05	0.975513	3	436
竣	19	8.40349e-07	0.999776	0	0
童	3429	0.000151661	0.92912	3	406
竪	4	1.76916e-07	0.999956	0	0
端	5389	0.000238349	0.88341	7	1136
競	1711	7.56756e-05	0.967415	4	623
竹	5638	0.000249362	0.880233	1	72
竺	228	1.00842e-05	0.996725	0	0
竿	165	7.29777e-06	0.997647	0	0
笏	7	3.09602e-07	0.99993	0	0
笑	24564	0.00108644	0.591805	4	464
笙	50	2.21144e-06	0.999328	0	0
笛	2125	9.39864e-05	0.958595	3	424
笞	1	4.42289e-08	0.999997	0	0
笠	1847	8.16908e-05	0.964604	0	0
笥	14	6.19204e-07	0.999836	0	0
符	370	1.63647e-05	0.994306	7	1833
第	9814	0.000434062	0.799748	3	353
笹	1678	7.42161e-05	0.968539	0	0
筅	3	1.32687e-07	0.99997	0	0
筆	1927	8.52291e-05	0.96235	3	427
筈	11	4.86518e-07	0.999873	0	0
等	2979	0.000131758	0.939888	3	411
筋	4454	0.000196995	0.906379	6	907
筍	24	1.06149e-06	0.999715	0	0
筏	1	4.42289e-08	0.99999	0	0
筐	4	1.76916e-07	0.999958	0	0
筑	638	2.8218e-05	0.989327	0	0
筒	1682	7.4393e-05	0.96839	7	1411
答	8224	0.000363738	0.829676	2	209
策	3005	0.000132908	0.939226	6	936
筥	1	4.42289e-08	0.999999	0	0
筧	336	1.48609e-05	0.994836	0	0
筰	1	4.42289e-08	0.999989	0	0
筵	1	4.42289e-08	0.99999	0	0
箇	167	7.38622e-06	0.997595	7	1983
箋	146	6.45742e-06	0.997887	7	1993
箍	1	4.42289e-08	0.999997	0	0
箔	77	3.40562e-06	0.998918	0	0
箕	243	1.07476e-05	0.996496	0	0
算	3714	0.000164266	0.922485	2	232
箙	1	4.42289e-08	0.99999	0	0
箝	19	8.40349e-07	0.999768	0	0
管	7721	0.000341491	0.836023	4	534
箪	40	1.76916e-06	0.999471	0	0
箭	3	1.32687e-07	0.999969	0	0
箱	2814	0.00012446	0.943991	3	414
箴	1	4.42289e-08	0.999989	0	0
箸	790	3.49408e-05	0.986513	7	1645
節	4055	0.000179348	0.914458	4	586
範	1288	5.69668e-05	0.976847	7	1496
篆	1	4.42289e-08	0.99999	0	0
篇	2	8.84578e-08	0.999976	0	0
築	1967	8.69982e-05	0.961577	5	797
篠	2174	9.61536e-05	0.957645	0	0
篤	832	3.67984e-05	0.985727	7	1630
篥	8	3.53831e-07	0.999911	0	0
篩	1	4.42289e-08	0.999997	0	0
篭	26	1.14995e-06	0.999681	0	0
篳	8	3.53831e-07	0.999911	0	0
篷	87	3.84791e-06	0.998775	0	0
簀	8	3.53831e-07	0.999911	0	0
簑	113	4.99786e-06	0.998381	0	0
簗	15	6.63433e-07	0.999832	0	0
簡	6417	0.000283817	0.862413	6	878
簪	46	2.03453e-06	0.999383	0	0
簾	84	3.71523e-06	0.998794	0	0
簿	1040	4.5998e-05	0.982312	7	1577
籃	1	4.42289e-08	0.999995	0	0
籍	1852	8.19119e-05	0.96444	7	1383
籏	1	4.42289e-08	0.999992	0	0
籐	537	2.37509e-05	0.991294	0	0
籔	1	4.42289e-08	0.999993	0	0
籟	4	1.76916e-07	0.999959	0	0
籠	920	4.06906e-05	0.984222	7	1607
籬	2	8.84578e-08	0.999983	0	0
米	6134	0.0002713	0.868239	2	219
籾	11	4.86518e-07	0.999879	0	0
粂	26	1.14995e-06	0.99969	0	0
粉	1701	7.52333e-05	0.967717	4	624
粋	956	4.22828e-05	0.983684	7	1599
粒	422	1.86646e-05	0.993487	7	1797
粕	353	1.56128e-05	0.994593	0	0
粗	592	2.61835e-05	0.990276	7	1715
粘	622	2.75104e-05	0.989606	7	1700
粛	341	1.50821e-05	0.994731	7	1844
粟	81	3.58254e-06	0.998848	0	0
粥	65	2.87488e-06	0.999094	0	0
粧	1116	4.93594e-05	0.980647	7	1553
精	4995	0.000220923	0.893058	5	747
糀	28	1.23841e-06	0.999662	0	0
糊	32	1.41532e-06	0.999603	0	0
糖	1179	5.21459e-05	0.979181	6	980
糜	1	4.42289e-08	0.999997	0	0
糞	63	2.78642e-06	0.999139	0	0
糟	2	8.84578e-08	0.999984	0	0
糠	14	6.19204e-07	0.999835	0	0
糧	288	1.27379e-05	0.995765	7	1890
糸	3337	0.000147592	0.931369	1	78
糺	9	3.9806e-07	0.999899	0	0
系	3034	0.00013419	0.938825	6	934
糾	124	5.48438e-06	0.998214	7	2010
紀	10976	0.000485456	0.776754	4	511
約	19205	0.000849416	0.650219	4	475
紅	1932	8.54502e-05	0.962179	6	958
紆	12	5.30747e-07	0.99986	0	0
紊	1	4.42289e-08	0.999994	0	0
紋	3877	0.000171475	0.918642	7	1207
納	6126	0.000270946	0.869053	6	884
紐	186	8.22657e-06	0.997329	0	0
純	5750	0.000254316	0.877963	6	888
紗	3003	0.000132819	0.939359	0	0
紘	126	5.57284e-06	0.998192	0	0
紙	8260	0.000365331	0.828584	2	208
級	3769	0.000166699	0.920667	3	399
紛	1135	5.01998e-05	0.980098	7	1543
素	10697	0.000473116	0.783459	5	690
紡	72	3.18448e-06	0.999003	7	2055
索	2361	0.000104424	0.953535	7	1325
紫	1518	6.71395e-05	0.971786	7	1443
紬	11	4.86518e-07	0.999874	0	0
紮	97	4.2902e-06	0.998634	0	0
累	236	1.0438e-05	0.996622	7	1929
細	6270	0.000277315	0.865496	2	218
紳	276	1.22072e-05	0.995991	7	1902
紹	4776	0.000211237	0.898869	7	1166
紺	1267	5.6038e-05	0.977186	7	1501
終	24259	0.00107295	0.595039	3	297
絃	0	0.0	1.0	0	0
組	15135	0.000669404	0.702302	2	169
絆	840	3.71523e-05	0.985616	0	0
絋	2	8.84578e-08	0.99998	0	0
経	13740	0.000607705	0.725799	5	672
結	55270	0.00244453	0.363286	4	443
絞	1790	7.91697e-05	0.965483	7	1392
